"sites","temperature_..C.","oxygen_.µmol.kg.","date","longitude","latitude","depth","depth_layer","station"
"112_4002.00",1.1733,133.9248,"2011-05-25 00:00:00",-124.4738,15.9087,4002,"BAT","112"
"TARA_068_5.00",16.8632,234.4763,"2010-09-14 06:55:00",4.665,-31.0266,5,"EPI","TARA_068"
"131_4003.00",1.9688,242.8925,"2011-06-25 00:00:00",-59.83,17.43,4003,"BAT","131"
"103_4013.00",1.162,134.3429,"2011-05-16 00:00:00",-150.3192,21.0638,4013,"BAT","103"
"82_2150.00",2.0126,139.1121,"2011-04-19 00:00:00",-179.52,-25.49,2150,"BAT","82"
"134_4003.00",1.9211,230.8888,"2011-06-28 00:00:00",-52.6367,19.9897,4003,"BAT","134"
"53_3500.00",1.3208,164.9308,"2011-02-25 00:00:00",63.2478,-27.9783,3500,"BAT","53"
"121_3008.00",1.6156,103.806,"2011-03-06 00:00:00",-99.2462,10.0927,3008,"BAT","121"
"97_3818.00",1.1537,142.4094,"2011-04-05 00:00:00",-163.53,9.22,3818,"BAT","97"
"50_4002.00",0.851,199.1923,"2011-02-18 00:00:00",39.89,-33.55,4002,"BAT","50"
"91_4018.00",1.1026,153.1939,"2011-04-28 00:00:00",-170.7407,-5.75,4018,"BAT","91"
"118_3103.00",1.4552,113.0293,"2011-05-31 00:00:00",-108.06,12,3103,"BAT","118"
"81_3501.00",1.5728,140.3662,"2011-04-18 00:00:00",179.1413,-28.4063,3501,"BAT","81"
"43_3900.00",0.9196,199.2961,"2011-04-02 00:00:00",12.7692,-32.8128,3900,"BAT","43"
"TARA_100_50.00",22.5967,216.6781,"2011-04-15 19:38:00",-96.0122,-12.9723,50,"EPI","TARA_100"
"59_4000.00",1.0745,176.0691,"2011-03-03 00:00:00",82.62,-29.81,4000,"BAT","59"
"65_4001.00",0.8069,186.0802,"2011-09-03 00:00:00",103.3075,-30.3327,4001,"BAT","65"
"TARA_122_5.00",26.6047,187.077,"2011-07-26 17:10:00",-139.1963,-8.9971,5,"EPI","TARA_122"
"TARA_125_140.00",23.6816,160.8144,"2011-08-09 17:05:00",-142.5461,-8.8999,140,"EPI","TARA_125"
"TARA_123_5.00",26.5867,189.6701,"2011-07-31 17:20:00",-140.283,-8.9068,5,"EPI","TARA_123"
"TARA_057_5.00",26.5535,194.0609,"2010-06-27 12:05:00",42.7401,-17.0248,5,"EPI","TARA_057"
"TARA_146_5.00",19.3128,213.9635,"2012-02-15 12:54:00",-71.3093,34.6712,5,"EPI","TARA_146"
"TARA_128_5.00",26.2184,180.6738,"2011-09-04 18:00:00",-153.6759,3e-04,5,"EPI","TARA_128"
"TARA_138_5.00",26.6055,196.2029,"2011-12-10 14:08:00",-102.9432,6.3332,5,"EPI","TARA_138"
"TARA_124_5.00",26.5724,190.3782,"2011-08-04 18:33:00",-140.5216,-9.1504,5,"EPI","TARA_124"
"TARA_125_5.00",26.806,187.3321,"2011-08-08 17:33:00",-142.5571,-8.9111,5,"EPI","TARA_125"
"41_4001.00",1.4922,205.7978,"2011-02-02 00:00:00",6.84,-31.81,4001,"BAT","41"
"TARA_148b_250.00",18.1292,192.2462,"2012-02-27 15:28:00",-56.9684,34.1504,250,"MES","TARA_148b"
"TARA_209_351.00",4.2017,273.0283,"2013-10-23 17:36:00",-52.996,64.7,351,"MES","TARA_209"
"TARA_189_5.00",0.1015,363.6485,"2013-08-27 01:53:00",117.1545,77.9028,5,"EPI","TARA_189"
"77_4001.00",0.8366,179.3173,"2011-03-27 00:00:00",150.41,-38.64,4001,"BAT","77"
"TARA_210_5.00",5.2953,293.8467,"2013-10-27 10:16:00",-55.9869,61.5427,5,"EPI","TARA_210"
"TARA_205_5.00",-0.4792,353.1935,"2013-10-08 12:15:00",-71.892,72.4693,5,"EPI","TARA_205"
"TARA_201_5.00",-1.3299,368.5247,"2013-09-30 15:02:00",-85.7806,74.2987,5,"EPI","TARA_201"
"TARA_205_491.00",1.2309,227.316,"2013-10-08 18:24:00",-71.8814,72.4456,491,"MES","TARA_205"
"TARA_158_651.00",0.225,295.3109,"2013-06-04 09:05:00",0.2177,67.1675,651,"MES","TARA_158"
"TARA_163_5.00",1.8996,363.0008,"2013-06-09 07:39:00",1.3918,76.1825,5,"EPI","TARA_163"
"TARA_128_40.00",26.1393,177.6731,"2011-09-05 18:40:00",-153.6858,0.0222,40,"EPI","TARA_128"
"TARA_201_441.00",0.994,233.314,"2013-09-29 16:37:00",-85.6552,74.305,441,"MES","TARA_201"
"TARA_133_5.00",19.248,223.159,"2011-10-18 15:35:00",-127.7422,35.3671,5,"EPI","TARA_133"
"TARA_188_5.00",-1.6497,388.3039,"2013-08-15 00:30:00",91.8557,78.2518,5,"EPI","TARA_188"
"TARA_124_120.00",24.814,172.4247,"2011-08-05 17:31:00",-140.5973,-9.0714,120,"EPI","TARA_124"
"TARA_070_800.00",4.1882,161.9253,"2010-09-21 11:57:00",-3.1641,-20.4075,800,"MES","TARA_070"
"TARA_056_1000.00",6.1958,88.8898,"2010-06-26 07:12:00",43.2948,-15.3379,1000,"MES","TARA_056"
"TARA_062_5.00",NA,NA,"2010-07-03 08:09:00",40.3412,-22.3368,5,"EPI","TARA_062"
