"Genome","# Biosynthetic Regions","# Biosynthetic Products","RiPPs","RiPPs:Proteusins","NRPS","PKSI","Other PKS","Saccharides","Terpenes","Other","Mean Completeness","Mean Contamination","Differential Coverage Index","CheckM Completeness","CheckM Contamination","CheckM Strain heterogeneity","Anvio Completion","Anvio Redundancy","# tRNAs (AA)","16S rRNA","16S rRNA (partial)","# CRISPRs","GTDB Taxonomy","Checkm Taxonomy","Anvio Domain","SpecI Species Cluster","mOTUs Species Cluster","dRep Species Cluster","Dereplication Representative Genome","Genome size","# scaffolds","N50 (scaffolds)","Longest scaffold","Coding density","GC Content","station","depth","depth layer","latitude","longitude","date","size fraction","temperature (°C)","oxygen (µmol/kg)","detected in the water column"
"MALA_SAMN05421697_METAG_FKHHNDDA","17","28","14","5","4","2","1","0","3","4","93.32","13.14","12","91.67","9.72","0","94.96","16.55","21","0","0","2","d__Bacteria;p__Eremiobacterota;c__UBP9;o__UBA4705;f__;g__;s__","k__Bacteria","BACTERIA","cluster_5096","gom_000880","C1",FALSE,"9139704","1096","10956","62578","0.9224","0.5714","112","4002","BAT","15.9087","-124.4738","2011-05-25 00:00:00","0.8-20","1.1733","133.9248",TRUE
"TARA_SAMEA2621033_METAG_KKHCHOLN","23","25","5","0","8","1","2","0","3","6","94.98","8.12","5","93.55","6.17","0","96.4","10.07","19","0","1","4","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__;s__","c__Deltaproteobacteria","BACTERIA","cluster_5530","gom_003509","373_0",TRUE,"11250240","734","22805","104071","0.9128","0.7188","TARA_068","5","EPI","-31.0266","4.665","2010-09-14 06:55:00","<-0.22","16.8632","234.4763",TRUE
"MALA_SAMN05422175_METAG_JCAGPLKC","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","19","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5180550","66","148511","355652","0.9162","0.6404","131","4003","BAT","17.43","-59.83","2011-06-25 00:00:00","0.8-20","1.9688","242.8925",TRUE
"MALA_SAMN05422140_METAG_KDGIOPII","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","1","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5165418","59","229107","573708","0.9161","0.6404","103","4013","BAT","21.0638","-150.3192","2011-05-16 00:00:00","0.8-20","1.162","134.3429",TRUE
"MALA_SAMN05422189_METAG_KDFHKFLA","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5169183","60","225050","572335","0.9163","0.6404","82","2150","BAT","-25.49","-179.52","2011-04-19 00:00:00","0.8-20","2.0126","139.1121",TRUE
"MALA_SAMN05422133_METAG_FOGKKEHN","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5156893","68","148511","572534","0.9161","0.6404","134","4003","BAT","19.9897","-52.6367","2011-06-28 00:00:00","0.8-20","1.9211","230.8888",TRUE
"MALA_SAMN05421913_METAG_LICMHBMD","19","22","1","0","10","2","3","0","2","4","99.34","03.03","27","99.41","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5162623","62","148511","572702","0.9165","0.6405","53","3500","BAT","-27.9783","63.2478","2011-02-25 00:00:00","0.8-20","1.3208","164.9308",TRUE
"MALA_SAMN05422120_METAG_CMDEFOFJ","19","22","1","0","10","2","3","0","2","4","99.38","4.22","27","99.47","1.24","28.57","99.28","7.19","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5164714","65","148511","572885","0.917","0.6405","121","3008","BAT","10.0927","-99.2462","2011-03-06 00:00:00","0.8-20","1.6156","103.806",TRUE
"MALA_SAMN05422113_METAG_HCMEOPMD","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5176489","65","140035","572429","0.9163","0.6404","97","3818","BAT","9.22","-163.53","2011-04-05 00:00:00","0.8-20","1.1537","142.4094",TRUE
"MALA_SAMN05422165_METAG_CHJKKJPH","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","1","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5174654","61","193523","572459","0.9159","0.6404","50","4002","BAT","-33.55","39.89","2011-02-18 00:00:00","0.8-20","0.851","199.1923",TRUE
"MALA_SAMN05421555_METAG_IJMJPABA","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5180459","67","140035","355652","0.9163","0.6404","91","4018","BAT","-5.75","-170.7407","2011-04-28 00:00:00","0.8-20","1.1026","153.1939",TRUE
"MALA_SAMN05421697_METAG_LIEFMPLO","19","22","1","0","10","2","3","0","2","4","99.18","03.03","27","99.09","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5166617","59","229107","572481","0.9162","0.6404","112","4002","BAT","15.9087","-124.4738","2011-05-25 00:00:00","0.8-20","1.1733","133.9248",TRUE
"MALA_SAMN05422153_METAG_ANPKIMNM","19","22","1","0","10","2","3","0","2","4","99.38","03.03","28","99.47","01.02","0","99.28","05.04","20","0","1","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5159721","65","144799","573725","0.916","0.6405","118","3103","BAT","12","-108.06","2011-05-31 00:00:00","0.8-20","1.4552","113.0293",TRUE
"MALA_SAMN05422137_METAG_DPJCFKJG","19","22","1","0","10","2","3","0","2","4","99.34","3.42","27","99.41","01.07","0","99.28","5.76","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5159275","74","125597","572408","0.9159","0.6405","81","3501","BAT","-28.4063","179.1413","2011-04-18 00:00:00","0.8-20","1.5728","140.3662",TRUE
"MALA_SAMN05422127_METAG_BMMMIACD","19","22","1","0","10","2","3","0","2","4","99.38","03.03","27","99.47","01.02","0","99.28","05.04","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",TRUE,"5165753","59","229107","572398","0.9166","0.6405","43","3900","BAT","-32.8128","12.7692","2011-04-02 00:00:00","0.8-20","0.9196","199.2961",TRUE
"TARA_SAMEA2622119_METAG_JEJNGPMI","20","20","9","0","6","1","0","0","1","3","88.64","0.38","8","98.13","0.75","0","79.14","0","20","0","0","7","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Tistrellaceae;g__Tistrella;s__Tistrella mobilis","o__Rhodospirillales","BACTERIA","cluster_3913","ref_mOTU_v25_01934","1098_1",FALSE,"5948951","287","34262","193878","0.8989","0.6836","TARA_100","50","EPI","-12.9723","-96.0122","2011-04-15 19:38:00","0.22-3","22.5967","216.6781",TRUE
"MALA_SAMN05422115_METAG_ECLHGDNH","18","19","1","0","9","1","2","0","2","4","98.47","3.44","27","98.38","1.11","0","98.56","5.76","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5133831","194","44915","140068","0.9151","0.6406","59","4000","BAT","-29.81","82.62","2011-03-03 00:00:00","0.8-20","1.0745","176.0691",TRUE
"MALA_SAMN05422148_METAG_CKCFHHDP","17","18","1","0","8","2","3","0","2","2","96.3","4.66","27","96.19","2.12","7.69","96.4","7.19","20","0","0","2","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus sp001942265","o__Actinomycetales","BACTERIA","cluster_5078","gom_000881","790_1",FALSE,"5163036","457","17017","77021","0.9097","0.6402","65","4001","BAT","-30.3327","103.3075","2011-09-03 00:00:00","0.2-0.8","0.8069","186.0802",TRUE
"TARA_SAMEA2622658_METAG_CHOAGAJB","15","18","1","0","11","2","0","0","0","4","89.96","2.42","12","95.02","3.41","23.08","84.89","1.44","18","0","0","3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5229876","450","16964","118013","0.9183","0.5428","TARA_122","5","EPI","-8.9971","-139.1963","2011-07-26 17:10:00","0.45-0.8","26.6047","187.077",TRUE
"TARA_SAMEA2622843_METAG_HAMAJGDK","14","18","3","0","8","2","0","0","0","5","97.24","2.1","12","95.93","2.76","0","98.56","1.44","18","0","1","3","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5374795","47","228653","462924","0.9146","0.541","TARA_125","140","EPI","-8.8999","-142.5461","2011-08-09 17:05:00","0.45-0.8","23.6816","160.8144",TRUE
"TARA_SAMEA2622710_METAG_DGMLDIHH","14","18","3","0","8","2","0","0","0","5","98.9","1.92","28","98.52","3.13","0","99.28","0.72","19","0","0","1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter;s__Ketobacter sp002471665","c__Gammaproteobacteria","BACTERIA","cluster_1656","meta_mOTU_v25_14491","704_1",FALSE,"5485732","43","210756","650073","0.9167","0.5408","TARA_123","5","EPI","-8.9068","-140.283","2011-07-31 17:20:00","0.22-3","26.5867","189.6701",TRUE
